Date,Seed,Model,Ranking Function,Dataset,N,n,Effort,Accuracy (test),Precision (test),Recall (test),F1-Score (test),Relevant labeled,TP (test),TN (test),FP (test),FN (test),Prevalence,Accuracy (training),Precision (training),Recall (training),F1-Score (training),TP (training),FP (training),TN (training),FN (training),target-recall,SCAL-round-no,SCAL type,threshold,Accuracy (held-out),Precision (held-out),Recall (held-out),F1-Score (held-out),TP (held-out),FP (held-out),TN (held-out),FN (held-out),Representation
2023-06-08 14:02,23712,logreg,relevance,displaced person,291,1,21,0.0892641737032569,0.0892641737032569,1.0,0.1638981173864895,16,518,0,5285,0,0.4979381443298969,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,16,6,0,0,0.8,1,smart scal,0.1504191140704888,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:03,8112,logreg,relevance,displaced person,291,1,21,0.0892641737032569,0.0892641737032569,1.0,0.1638981173864895,16,518,0,5285,0,0.5412371134020618,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,16,6,0,0,0.8,1,smart scal,0.087869589229241,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:03,29743,logreg,relevance,displaced person,291,1,21,0.0892641737032569,0.0892641737032569,1.0,0.1638981173864895,16,518,0,5285,0,0.5304123711340206,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,16,6,0,0,0.8,1,smart scal,0.153400504452192,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:04,29167,logreg,uncertainty,displaced person,291,1,21,0.0892641737032569,0.0892641737032569,1.0,0.1638981173864895,16,518,0,5285,0,0.4690721649484536,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,16,6,0,0,0.8,1,smart scal,0.1676915682022525,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:04,1322,logreg,uncertainty,displaced person,291,1,21,0.0890918490435981,0.0890918490435981,1.0,0.1636075949367088,17,517,0,5286,0,0.5448453608247423,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,17,5,0,0,0.8,1,smart scal,0.1819452682512114,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:05,14003,logreg,uncertainty,displaced person,291,1,21,0.0894364983629157,0.0894364983629157,1.0,0.1641885479278709,15,519,0,5284,0,0.4835051546391753,0.6818181818181818,0.6818181818181818,1.0,0.8108108108108109,15,7,0,0,0.8,1,smart scal,0.0953175621811145,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:05,22910,logreg,half_and_half,displaced person,291,1,21,0.0897811476822333,0.0897811476822333,1.0,0.1647691334598355,13,521,0,5282,0,0.3752577319587629,0.5909090909090909,0.5909090909090909,1.0,0.7428571428571429,13,9,0,0,0.8,1,smart scal,0.1293962669429963,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:06,26603,logreg,half_and_half,displaced person,291,1,21,0.0889195243839393,0.0889195243839393,1.0,0.1633169805348947,18,516,0,5287,0,0.6314432989690721,0.8181818181818182,0.8181818181818182,1.0,0.9,18,4,0,0,0.8,1,smart scal,0.1761153309285049,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:06,12348,logreg,half_and_half,displaced person,291,1,21,0.0892641737032569,0.0892641737032569,1.0,0.1638981173864895,16,518,0,5285,0,0.5087628865979382,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,16,6,0,0,0.8,1,smart scal,0.1680496413776747,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:06,28847,logreg,random,displaced person,291,1,21,0.0901257970015509,0.0901257970015509,1.0,0.1653493518811255,11,523,0,5280,0,0.4365979381443299,0.5,0.5,1.0,0.6666666666666666,11,11,0,0,0.8,1,smart scal,0.0813291709400134,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:07,11155,logreg,random,displaced person,291,1,21,0.0902981216612097,0.0902981216612097,1.0,0.1656393235340603,10,524,0,5279,0,0.5412371134020618,0.4545454545454545,0.4545454545454545,1.0,0.625,10,12,0,0,0.8,1,smart scal,0.0299000125179699,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:07,26419,logreg,random,displaced person,291,1,21,0.0901257970015509,0.0901257970015509,1.0,0.1653493518811255,11,523,0,5280,0,0.534020618556701,0.5,0.5,1.0,0.6666666666666666,11,11,0,0,0.8,1,smart scal,0.0799081327223052,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-08 14:08,23360,logreg,relevance,displaced person,291,3,60,0.0853573907009021,0.0847222222222222,1.0,0.1562099871959027,46,488,4,5272,0,0.5532646048109966,0.7540983606557377,0.7540983606557377,1.0,0.8598130841121495,46,15,0,0,0.8,1,smart scal,0.2415046506015359,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
