Date,Seed,Model,Ranking Function,Dataset,N,n,Effort,Accuracy (test),Precision (test),Recall (test),F1-Score (test),Relevant labeled,TP (test),TN (test),FP (test),FN (test),Prevalence,Accuracy (training),Precision (training),Recall (training),F1-Score (training),TP (training),FP (training),TN (training),FN (training),target-recall,SCAL-round-no,SCAL type,threshold,Accuracy (held-out),Precision (held-out),Recall (held-out),F1-Score (held-out),TP (held-out),FP (held-out),TN (held-out),FN (held-out),Representation
2023-06-07 12:30,4170,logreg,relevance,displaced person,291,1,21,0.0890918490435981,0.0890918490435981,1.0,0.1636075949367088,17,517,0,5286,0,0.5448453608247423,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,17,5,0,0,0.8,1,smart scal,0.1805256705535663,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-07 12:31,27539,logreg,relevance,displaced person,291,1,21,0.0892641737032569,0.0892641737032569,1.0,0.1638981173864895,16,518,0,5285,0,0.5051546391752577,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,16,6,0,0,0.8,1,smart scal,0.1630434879091076,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-07 12:31,7089,logreg,relevance,displaced person,291,1,21,0.0892641737032569,0.0892641737032569,1.0,0.1638981173864895,16,518,0,5285,0,0.4835051546391753,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,16,6,0,0,0.8,1,smart scal,0.1540935198149035,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,sbert
2023-06-07 12:31,14274,logreg,relevance,displaced person,291,1,21,0.0892641737032569,0.0892641737032569,1.0,0.1638981173864895,16,518,0,5285,0,0.5231958762886598,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,16,6,0,0,0.8,1,smart scal,0.1197917312677984,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,bow
2023-06-07 12:32,19198,logreg,relevance,displaced person,291,1,21,0.0890918490435981,0.0890918490435981,1.0,0.1636075949367088,17,517,0,5286,0,0.5448453608247423,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,17,5,0,0,0.8,1,smart scal,0.1663498081249464,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,bow
2023-06-07 12:32,185,logreg,relevance,displaced person,291,1,21,0.0890918490435981,0.0890918490435981,1.0,0.1636075949367088,17,517,0,5286,0,0.5628865979381443,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,17,5,0,0,0.8,1,smart scal,0.1442611753695773,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,bow
2023-06-07 12:33,5168,logreg,relevance,displaced person,291,1,21,0.2519386524211615,0.1067901234567901,1.0,0.1929726715002788,15,519,943,4341,0,0.4582474226804123,0.7272727272727273,0.7142857142857143,1.0,0.8333333333333333,15,6,1,0,0.8,1,smart scal,0.1526881247084985,0.2484557309540151,0.0987654320987654,1.0,0.1797752808988764,120,1095,242,0,glove
2023-06-07 12:33,24429,logreg,relevance,displaced person,291,1,21,0.0897811476822333,0.0897811476822333,1.0,0.1647691334598355,13,521,0,5282,0,0.4329896907216495,0.5909090909090909,0.5909090909090909,1.0,0.7428571428571429,13,9,0,0,0.8,1,smart scal,0.0337504637273806,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,glove
2023-06-07 12:34,4497,logreg,relevance,displaced person,291,1,21,0.3586076167499569,0.1223767979250176,1.0,0.2180672268907563,15,519,1562,3722,0,0.4979381443298969,0.7727272727272727,0.75,1.0,0.8571428571428571,15,5,2,0,0.8,1,smart scal,0.1803106661148974,0.3459162663006177,0.1118359739049394,1.0,0.201173512154233,120,953,384,0,glove
2023-06-07 12:34,28506,logreg,relevance,displaced person,291,3,60,0.213913948646773,0.097410358565737,1.0,0.17752768197495,45,489,744,4531,0,0.5424398625429554,0.7868852459016393,0.7758620689655172,1.0,0.8737864077669902,45,13,3,0,0.8,1,smart scal,0.3091924585561334,0.1990391214824982,0.0932400932400932,1.0,0.1705756929637527,120,1167,170,0,sbert
2023-06-07 12:35,10849,logreg,relevance,displaced person,291,3,60,0.5045107564191533,0.1461883408071748,1.0,0.2550860719874804,45,489,2419,2856,0,0.5195876288659794,0.8852459016393442,0.8653846153846154,1.0,0.9278350515463918,45,7,9,0,0.8,1,smart scal,0.3434428257753982,0.4996568291008922,0.1413427561837456,1.0,0.2476780185758513,120,729,608,0,sbert
2023-06-07 12:35,26862,logreg,relevance,displaced person,291,3,60,0.258501040943789,0.1030430220356768,1.0,0.1868340943683409,43,491,999,4274,0,0.4979381443298969,0.7868852459016393,0.7678571428571429,1.0,0.8686868686868687,43,13,5,0,0.8,1,smart scal,0.2661310771814296,0.2628689087165408,0.100502512562814,1.0,0.182648401826484,120,1074,263,0,sbert
2023-06-07 12:35,26602,logreg,relevance,displaced person,291,3,60,0.0853573907009021,0.0853573907009021,1.0,0.1572890025575447,42,492,0,5272,0,0.5195876288659794,0.6885245901639344,0.6885245901639344,1.0,0.8155339805825244,42,19,0,0,0.8,1,smart scal,0.2545271245518902,0.0823610157858613,0.0823610157858613,1.0,0.1521876981610653,120,1337,0,0,bow
